Location,1980,1990,2000,2010,
Africa,70549.002651918,98895.030362877,118710.55499186,170089.61224699,
Asia & Oceania,542595.83376425,657868.59316174,996239.75353609,1297581.5529348,
Europe,798804.082666,705889.16051162,762403.54944189,731860.1709559,
North America,936416.14018478,929496.1522399,1081872.3390479,1068215.8189462,
World,3056957.2516451,3144836.979208,3626434.6926504,4133108.4429845,
