Location,1980,1990,2000,2010,
Africa,95444.230827153,145123.64817793,169447.08472937,194978.3330429,
Asia & Oceania,987604.85015633,1660779.0636929,2218869.385458,4818888.8909489,
Central & South America,16415.175096794,26352.888469986,32540.031539341,41688.935191541,
Eurasia,681597.03005309,769718.03393589,347132.73874635,368430.34584347,
Europe,1279855.2423928,1310566.5347827,934359.14586851,876616.93998754,
Middle East,1783.9978783769,4780.9943141929,12160.867152764,15015.200016067,
North America,679071.64250385,877355.32349657,1059024.2374643,1027280.5645625,
World,3741772.1689084,4794676.4868702,4773533.4909586,7342899.2095929,
