Location,1980,1990,2000,2010,
Africa,20.82987235896,38.2560597566,57.710544648455,100.95395276201,
Asia & Oceania,72.9441968416,164.11680642723,292.06175635909,586.73912288373,
Central & South America,35.1412066306,57.306521580177,93.558795169486,138.65747054777,
Eurasia,377.4069314848,706.8168079826,551.07920085952,638.89802965761,
Europe,316.9504639938,378.33848268048,490.65963064439,586.95253941738,
Middle East,37.1233858926,97.263214404919,193.18182317083,377.81656567782,
North America,638.80803928545,636.2562100204,787.11560092224,843.62952023241,
World,1499.2040964878,2078.3541028524,2465.367351774,3273.6472011787,
